"","sp_name","sp_subtribe","sp_lat","sp_lon"
"104","Calamus_conirostris","Calaminae",4.55,115.15
"105","Calamus_conirostris","Calaminae",4.55,115.15
"106","Calamus_conirostris","Calaminae",1.666667,115
"107","Calamus_conirostris","Calaminae",1.666667,115
"108","Calamus_conirostris","Calaminae",4.68,114.48
"109","Calamus_conirostris","Calaminae",4.08,114.7
"110","Calamus_conirostris","Calaminae",4.08,114.7
"111","Calamus_conirostris","Calaminae",4.08,114.7
"112","Calamus_conirostris","Calaminae",4.083333,114.7
"113","Calamus_conirostris","Calaminae",4.083333,114.7
"114","Calamus_conirostris","Calaminae",4.083333,114.7
"115","Calamus_conirostris","Calaminae",4.48,115.18
"116","Calamus_conirostris","Calaminae",4.8,115.05
"117","Calamus_conirostris","Calaminae",1.53,114.58
"118","Calamus_conirostris","Calaminae",4.52,115.43
"119","Calamus_conirostris","Calaminae",4.516667,115.433333
"120","Calamus_conirostris","Calaminae",3.75,115.45
"121","Calamus_conirostris","Calaminae",2.716667,97.9
"122","Calamus_conirostris","Calaminae",2.716667,97.9
"123","Calamus_conirostris","Calaminae",5.08,115.55
"124","Calamus_conirostris","Calaminae",3.28,114.33
"125","Calamus_conirostris","Calaminae",5.08,116.45
"126","Calamus_conirostris","Calaminae",1.42,110.33
"127","Calamus_conirostris","Calaminae",5.86,116.38
"128","Calamus_conirostris","Calaminae",3.916667,98.083333
"129","Calamus_conirostris","Calaminae",3.916667,98.083333
"130","Calamus_conirostris","Calaminae",5.08,116.03
"131","Calamus_conirostris","Calaminae",5.08,116.45
"132","Calamus_conirostris","Calaminae",5.090833,116.4075
"133","Calamus_conirostris","Calaminae",5.33,115.75
"134","Calamus_conirostris","Calaminae",4.05,114.93
"135","Calamus_conirostris","Calaminae",4.05,114.93
"136","Calamus_conirostris","Calaminae",4.05,114.93
"137","Calamus_conirostris","Calaminae",2.7,113.78
"138","Calamus_conirostris","Calaminae",-1.28,116.83
